Flight ID,Destination,Status
1,Tokyo,inActive
2,Dubai,Active
3,New York,Active
4,Dubai,Active
5,New York,Active
6,Dubai,inActive
7,London,Active
8,Dubai,Active
9,Los Angeles,Active
10,Dubai,Active
11,Paris,Active
12,Tokyo,Active
13,London,inActive
14,Tokyo,Active
15,Paris,Active
16,Paris,Active
17,Tokyo,Active
18,Tokyo,Active
19,Los Angeles,Active
20,Paris,inActive
21,Los Angeles,inActive
22,Paris,inActive
23,Los Angeles,Active
24,London,Active
25,Tokyo,Active
26,New York,Active
27,Dubai,Active
28,Tokyo,Active
29,London,Active
30,Tokyo,Active
31,New York,inActive
32,Dubai,inActive
33,London,inActive
34,Los Angeles,Active
35,Dubai,inActive
36,New York,Active
37,Dubai,inActive
38,Los Angeles,Active
39,New York,inActive
40,Los Angeles,Active
41,Paris,Active
42,Los Angeles,Active
43,London,inActive
44,London,Active
45,Paris,Active
46,Los Angeles,inActive
47,New York,Active
48,Tokyo,Active
49,Dubai,inActive
50,Dubai,Active
51,Tokyo,Active
52,Tokyo,Active
53,London,Active
54,Paris,Active
55,New York,Active
56,London,Active
57,London,inActive
58,Dubai,Active
59,Tokyo,Active
60,Paris,inActive
61,London,Active
62,Tokyo,inActive
63,Los Angeles,Active
64,New York,Active
65,New York,inActive
66,Tokyo,Active
67,Los Angeles,Active
68,London,Active
69,Tokyo,inActive
70,New York,inActive
71,Dubai,inActive
72,London,inActive
73,New York,inActive
74,Paris,inActive
75,Paris,Active
76,Tokyo,Active
77,Dubai,inActive
78,Tokyo,Active
79,London,inActive
80,New York,inActive
81,Tokyo,Active
82,New York,inActive
83,Paris,inActive
84,Dubai,inActive
85,Los Angeles,Active
86,New York,inActive
87,Dubai,inActive
88,Los Angeles,inActive
89,Paris,Active
90,Dubai,inActive
91,Dubai,Active
92,Paris,inActive
93,Los Angeles,Active
94,Dubai,inActive
95,New York,Active
96,New York,inActive
97,Paris,inActive
98,Tokyo,Active
99,London,inActive
100,New York,inActive
101,London,Active
102,New York,inActive
103,New York,Active
104,Tokyo,inActive
105,Los Angeles,Active
106,Dubai,Active
107,London,Active
108,London,inActive
109,Los Angeles,inActive
110,Paris,Active
111,Tokyo,inActive
112,Los Angeles,inActive
113,London,inActive
114,Paris,inActive
115,Tokyo,Active
116,Dubai,inActive
117,Tokyo,Active
118,Los Angeles,inActive
119,Dubai,inActive
120,Tokyo,inActive
121,Paris,inActive
122,Tokyo,inActive
123,Tokyo,inActive
124,New York,inActive
125,London,Active
126,Paris,inActive
127,Los Angeles,Active
128,Paris,Active
129,London,Active
130,Paris,inActive
131,New York,inActive
132,New York,Active
133,New York,inActive
134,Los Angeles,inActive
135,Los Angeles,inActive
136,Los Angeles,Active
137,Dubai,Active
138,Paris,Active
139,Dubai,inActive
140,Dubai,Active
141,New York,inActive
142,New York,inActive
143,Los Angeles,Active
144,Tokyo,inActive
145,Tokyo,inActive
146,Paris,inActive
147,Tokyo,inActive
148,Tokyo,inActive
149,London,inActive
150,London,Active
151,London,Active
152,Paris,inActive
153,Tokyo,Active
154,Tokyo,inActive
155,Paris,Active
156,Los Angeles,Active
157,Tokyo,Active
158,Los Angeles,Active
159,Los Angeles,inActive
160,Tokyo,inActive
161,Paris,inActive
162,Dubai,Active
163,Dubai,Active
164,Tokyo,inActive
165,Los Angeles,inActive
166,Tokyo,Active
167,Los Angeles,inActive
168,Paris,Active
169,Tokyo,Active
170,Los Angeles,Active
171,Los Angeles,inActive
172,Los Angeles,Active
173,Tokyo,inActive
174,Dubai,Active
175,London,inActive
176,Tokyo,inActive
177,London,Active
178,Dubai,Active
179,New York,Active
180,Paris,inActive
181,Los Angeles,Active
182,Tokyo,Active
183,London,inActive
184,London,Active
185,London,Active
186,Los Angeles,Active
187,Paris,inActive
188,London,inActive
189,Los Angeles,Active
190,Los Angeles,Active
191,London,inActive
192,Paris,inActive
193,Dubai,inActive
194,Dubai,inActive
195,Paris,Active
196,Los Angeles,Active
197,Los Angeles,Active
198,Tokyo,Active
199,London,inActive
200,London,Active
201,Dubai,Active
202,Paris,inActive
203,New York,inActive
204,Los Angeles,Active
205,Tokyo,inActive
206,Tokyo,inActive
207,New York,inActive
208,Dubai,Active
209,Los Angeles,inActive
210,Los Angeles,inActive
211,London,inActive
212,New York,inActive
213,Tokyo,Active
214,Los Angeles,Active
215,Dubai,inActive
216,New York,inActive
217,New York,inActive
218,London,inActive
219,Dubai,Active
220,New York,inActive
221,Tokyo,Active
222,Dubai,inActive
223,London,Active
224,Los Angeles,inActive
225,London,inActive
226,Dubai,Active
227,Tokyo,inActive
228,Los Angeles,inActive
229,Los Angeles,Active
