2024-11-08 12:00:00 | Check-in | Alice | 101 | Checked-in Alice for Flight 101
2024-11-08 12:10:00 | Check-in | Bob | 102 | Checked-in Bob for Flight 102
2024-11-08 12:20:00 | Boarding | Alice | 101 | Boarded Alice on Flight 101
2024-11-08 12:30:00 | Undo | Boarding | Alice | 101 | Undo boarding of Alice from Flight 101
2024-11-08 12:40:00 | Redo | Boarding | Alice | 101 | Redo boarding of Alice to Flight 101
2024-11-08 12:50:00 | Cancel | Alice | 101 | Canceled Alice from Flight 101
2024-11-08 13:00:00 | Undo | Cancel | Alice | 101 | Undo cancel of Alice from Flight 
1012024-11-30 16:30:42 | Boarding | Alice | 101 | Boarded Alice for Flight 101
2024-11-30 16:33:34 | Boarding | Alice | 101 | Boarded Alice for Flight 101
2024-11-30 16:33:44 | Undo | Alice | 101 | Undo Boarding Alice for Flight 101
2024-11-30 16:41:39 | Boarding | Alice | 101 | Boarded Alice for Flight 101
2024-11-30 16:41:43 | Check-in | Kate | 101 | Checked-in Kate for Flight 101
2024-11-30 16:42:06 | Check-in | Kate | 101 | Checked-in Kate for Flight 101
2024-11-30 16:42:06 | Check-in | Kate | 101 | Checked-in Kate for Flight 101
2024-11-30 16:42:06 | Check-in | Kate | 101 | Checked-in Kate for Flight 101
2024-11-30 16:42:07 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-11-30 16:42:08 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-11-30 16:42:08 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-11-30 16:42:08 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-12-06 17:53:55 | Boarding | Charlie | 103 | Boarded Charlie for Flight 103
2024-12-06 17:54:09 | Undo | Charlie | 103 | Undo Boarding Charlie for Flight 103
2024-12-06 17:54:11 | Redo | Charlie | 103 | Redo Boarding Charlie for Flight 103
2024-12-06 17:54:16 | Boarding | Charlie | 103 | Boarded Charlie for Flight 103
2024-12-06 17:54:34 | Cancel | Bob | 102 | Canceled Bob for Flight 102
2024-12-06 17:55:32 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-12-06 18:00:20 | Boarding | Alice | 101 | Boarded Alice for Flight 101
2024-12-06 18:00:22 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-12-06 22:44:48 | Boarding | Bob | 102 | Boarded Bob for Flight 102
2024-12-06 22:45:00 | Cancel | amer | 102 | Canceled amer for Flight 102
2024-12-06 22:45:53 | Undo | amer | 102 | Undo Cancel amer for Flight 102
2024-12-06 22:45:56 | Undo | Bob | 102 | Undo Boarding Bob for Flight 102
2024-12-06 22:46:13 | Redo | Bob | 102 | Redo Boarding Bob for Flight 102
2024-12-06 22:46:24 | Cancel | Bob | 102 | Canceled Bob for Flight 102
2024-12-06 22:46:27 | Cancel | Bob | 102 | Canceled Bob for Flight 102
2024-12-06 22:46:29 | Boarding | Liam | 102 | Boarded Liam for Flight 102
2024-12-06 22:46:30 | Undo | Liam | 102 | Undo Boarding Liam for Flight 102
2024-12-06 22:46:33 | Undo | Bob | 102 | Undo Cancel Bob for Flight 102
2024-12-06 22:46:34 | Undo | Bob | 102 | Undo Cancel Bob for Flight 102
2024-12-06 22:52:21 | Cancel | Diana | 104 | Canceled Diana for Flight 104
2024-12-06 22:52:24 | Boarding | Diana | 104 | Boarded Diana for Flight 104
2024-12-06 22:55:46 | Cancel | Alice | 101 | Canceled Alice for Flight 101
2024-12-06 22:56:21 | Boarding | Kate | 101 | Boarded Kate for Flight 101
2024-12-06 22:59:40 | Cancel | Kate | 101 | Canceled Kate for Flight 101
2024-12-06 23:02:44 | Cancel | Alice | 101 | Canceled Alice for Flight 101
2024-12-06 23:02:46 | Boarding | Kate | 101 | Boarded Kate for Flight 101
2024-12-06 23:02:49 | Undo | Kate | 101 | Undo Boarding Kate for Flight 101
2024-12-06 23:02:50 | Undo | Alice | 101 | Undo Cancel Alice for Flight 101
2024-12-06 23:02:51 | Redo | Alice | 101 | Redo Cancel Alice for Flight 101
2024-12-06 23:02:52 | Undo | Alice | 101 | Undo Cancel Alice for Flight 101
2024-12-06 23:02:53 | Redo | Alice | 101 | Redo Cancel Alice for Flight 101
2024-12-06 23:02:54 | Redo | Kate | 101 | Redo Boarding Kate for Flight 101
2024-12-06 23:02:54 | Undo | Kate | 101 | Undo Boarding Kate for Flight 101
2024-12-06 23:02:55 | Undo | Alice | 101 | Undo Cancel Alice for Flight 101
2024-12-06 23:02:55 | Redo | Alice | 101 | Redo Cancel Alice for Flight 101
2024-12-06 23:02:56 | Redo | Kate | 101 | Redo Boarding Kate for Flight 101
2024-12-06 23:02:56 | Undo | Kate | 101 | Undo Boarding Kate for Flight 101
2024-12-06 23:02:56 | Undo | Alice | 101 | Undo Cancel Alice for Flight 101
2024-12-06 23:02:59 | Redo | Alice | 101 | Redo Cancel Alice for Flight 101
2024-12-06 23:03:00 | Redo | Kate | 101 | Redo Boarding Kate for Flight 101
2024-12-06 23:04:12 | Cancel | Charlie | 103 | Canceled Charlie for Flight 103
2024-12-06 23:04:16 | Boarding | Mia | 103 | Boarded Mia for Flight 103
2024-12-06 23:04:45 | Boarding | Jack | 110 | Boarded Jack for Flight 110
2024-12-06 23:04:46 | Boarding | Thomas | 110 | Boarded Thomas for Flight 110
2024-12-06 23:05:02 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:03 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:03 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:03 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:04 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:04 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:07 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:08 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:16 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:18 | Boarding | Thomas | 110 | Boarded Thomas for Flight 110
2024-12-06 23:05:20 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:21 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:21 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:21 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:21 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:27 | Redo | Thomas | 110 | Redo Boarding Thomas for Flight 110
2024-12-06 23:05:27 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
2024-12-06 23:05:30 | Boarding | Thomas | 110 | Boarded Thomas for Flight 110
2024-12-06 23:05:32 | Undo | Thomas | 110 | Undo Boarding Thomas for Flight 110
